rnk,UserId,DisplayName,TagName,N
"1","919","whuber","regression","318"
"1","919","whuber","model-selection","5"
"1","919","whuber","stata","8"
"1","919","whuber","variance","112"
"1","919","whuber","random-variable","144"
"1","919","whuber","standard-deviation","49"
"1","919","whuber","data-visualization","76"
"1","919","whuber","poisson-distribution","52"
"1","919","whuber","standard-error","26"
"1","919","whuber","statistical-power","12"
"1","919","whuber","multiple-regression","55"
"1","919","whuber","logistic","45"
"1","919","whuber","anova","14"
"1","919","whuber","correlation","127"
"1","919","whuber","mathematical-statistics","185"
"1","919","whuber","neural-networks","2"
"1","919","whuber","time-series","117"
"1","919","whuber","expected-value","127"
"1","919","whuber","experiment-design","12"
"1","919","whuber","regression-coefficients","27"
"1","919","whuber","autocorrelation","19"
"1","919","whuber","mean","61"
"1","919","whuber","statistical-significance","48"
"1","919","whuber","normal-distribution","233"
"1","919","whuber","confidence-interval","67"
"1","919","whuber","multivariate-analysis","37"
"1","919","whuber","interaction","15"
"1","919","whuber","dataset","20"
"1","919","whuber","lme4-nlme","2"
"1","919","whuber","references","36"
"1","919","whuber","conditional-probability","63"
"1","919","whuber","scikit-learn","3"
"1","919","whuber","stochastic-processes","43"
"1","919","whuber","categorical-data","16"
"1","919","whuber","pca","30"
"1","919","whuber","terminology","28"
"1","919","whuber","predictive-models","7"
"1","919","whuber","binomial-distribution","85"
"1","919","whuber","data-transformation","70"
"1","919","whuber","inference","22"
"1","919","whuber","optimization","31"
"1","919","whuber","probability","514"
"1","919","whuber","classification","19"
"1","919","whuber","arima","7"
"1","919","whuber","self-study","304"
"1","919","whuber","svm","1"
"1","919","whuber","covariance","65"
"1","919","whuber","least-squares","44"
"1","919","whuber","random-effects-model","2"
"1","919","whuber","prediction","6"
"1","919","whuber","markov-chain-montecarlo","6"
"1","919","whuber","residuals","20"
"1","919","whuber","modeling","19"
"1","919","whuber","survival","15"
"1","919","whuber","binary-data","18"
"1","919","whuber","density-function","67"
"1","919","whuber","stationarity","21"
"1","919","whuber","chi-squared-test","25"
"1","919","whuber","likelihood","18"
"1","919","whuber","cross-validation","4"
"1","919","whuber","panel-data","2"
"1","919","whuber","lasso","5"
"1","919","whuber","regularization","9"
"1","919","whuber","spss","6"
"1","919","whuber","sampling","93"
"1","919","whuber","clustering","24"
"1","919","whuber","mixed-model","3"
"1","919","whuber","nonparametric","25"
"1","919","whuber","","2100"
"1","919","whuber","simulation","45"
"1","919","whuber","multiple-comparisons","17"
"1","919","whuber","bootstrap","13"
"1","919","whuber","hypothesis-testing","100"
"1","919","whuber","distributions","362"
"1","919","whuber","sample-size","18"
"1","919","whuber","t-test","27"
"1","919","whuber","interpretation","16"
"1","919","whuber","model","6"
"1","919","whuber","python","19"
"1","919","whuber","econometrics","17"
"1","919","whuber","linear-model","30"
"1","919","whuber","missing-data","16"
"1","919","whuber","p-value","24"
"1","919","whuber","causality","3"
"1","919","whuber","machine-learning","45"
"1","919","whuber","generalized-linear-model","17"
"1","919","whuber","multilevel-analysis","4"
"1","919","whuber","descriptive-statistics","24"
"1","919","whuber","maximum-likelihood","42"
"1","919","whuber","r","273"
"1","919","whuber","repeated-measures","7"
"1","919","whuber","forecasting","12"
"1","919","whuber","bayesian","29"
"1","919","whuber","linear","13"
"1","919","whuber","estimation","62"
"1","919","whuber","feature-selection","3"
"2","805","Glen_b","bayesian","98"
"2","805","Glen_b","chi-squared-test","178"
"2","805","Glen_b","sampling","96"
"2","805","Glen_b","python","41"
"2","805","Glen_b","probability","372"
"2","805","Glen_b","anova","153"
"2","805","Glen_b","confidence-interval","142"
"2","805","Glen_b","forecasting","29"
"2","805","Glen_b","multiple-comparisons","23"
"2","805","Glen_b","causality","2"
"2","805","Glen_b","regression-coefficients","36"
"2","805","Glen_b","terminology","60"
"2","805","Glen_b","econometrics","28"
"2","805","Glen_b","distributions","539"
"2","805","Glen_b","mixed-model","11"
"2","805","Glen_b","least-squares","77"
"2","805","Glen_b","classification","12"
"2","805","Glen_b","t-test","235"
"2","805","Glen_b","lasso","7"
"2","805","Glen_b","hypothesis-testing","559"
"2","805","Glen_b","dataset","26"
"2","805","Glen_b","r","566"
"2","805","Glen_b","linear","27"
"2","805","Glen_b","markov-chain-montecarlo","20"
"2","805","Glen_b","statistical-power","70"
"2","805","Glen_b","standard-deviation","131"
"2","805","Glen_b","multilevel-analysis","3"
"2","805","Glen_b","modeling","57"
"2","805","Glen_b","svm","4"
"2","805","Glen_b","conditional-probability","36"
"2","805","Glen_b","time-series","140"
"2","805","Glen_b","references","43"
"2","805","Glen_b","binary-data","12"
"2","805","Glen_b","pca","3"
"2","805","Glen_b","data-visualization","98"
"2","805","Glen_b","generalized-linear-model","167"
"2","805","Glen_b","residuals","85"
"2","805","Glen_b","stationarity","10"
"2","805","Glen_b","cross-validation","10"
"2","805","Glen_b","self-study","394"
"2","805","Glen_b","sample-size","71"
"2","805","Glen_b","survival","24"
"2","805","Glen_b","interpretation","30"
"2","805","Glen_b","maximum-likelihood","103"
"2","805","Glen_b","regression","583"
"2","805","Glen_b","lme4-nlme","3"
"2","805","Glen_b","likelihood","32"
"2","805","Glen_b","interaction","19"
"2","805","Glen_b","arima","19"
"2","805","Glen_b","random-variable","78"
"2","805","Glen_b","data-transformation","128"
"2","805","Glen_b","stochastic-processes","16"
"2","805","Glen_b","density-function","84"
"2","805","Glen_b","mathematical-statistics","217"
"2","805","Glen_b","inference","64"
"2","805","Glen_b","variance","147"
"2","805","Glen_b","correlation","159"
"2","805","Glen_b","binomial-distribution","98"
"2","805","Glen_b","simulation","75"
"2","805","Glen_b","expected-value","65"
"2","805","Glen_b","neural-networks","6"
"2","805","Glen_b","panel-data","4"
"2","805","Glen_b","multivariate-analysis","24"
"2","805","Glen_b","repeated-measures","11"
"2","805","Glen_b","spss","20"
"2","805","Glen_b","random-effects-model","1"
"2","805","Glen_b","logistic","71"
"2","805","Glen_b","optimization","22"
"2","805","Glen_b","nonparametric","134"
"2","805","Glen_b","mean","159"
"2","805","Glen_b","experiment-design","14"
"2","805","Glen_b","random-forest","2"
"2","805","Glen_b","cox-model","3"
"2","805","Glen_b","linear-model","81"
"2","805","Glen_b","predictive-models","24"
"2","805","Glen_b","model","17"
"2","805","Glen_b","standard-error","52"
"2","805","Glen_b","statistical-significance","237"
"2","805","Glen_b","model-selection","27"
"2","805","Glen_b","covariance","38"
"2","805","Glen_b","missing-data","8"
"2","805","Glen_b","categorical-data","67"
"2","805","Glen_b","descriptive-statistics","60"
"2","805","Glen_b","estimation","109"
"2","805","Glen_b","stata","6"
"2","805","Glen_b","p-value","152"
"2","805","Glen_b","","3226"
"2","805","Glen_b","deep-learning","1"
"2","805","Glen_b","poisson-distribution","130"
"2","805","Glen_b","bootstrap","43"
"2","805","Glen_b","normal-distribution","345"
"2","805","Glen_b","multiple-regression","96"
"2","805","Glen_b","scikit-learn","4"
"2","805","Glen_b","prediction","16"
"2","805","Glen_b","feature-selection","5"
"2","805","Glen_b","machine-learning","59"
"2","805","Glen_b","clustering","6"
"2","805","Glen_b","regularization","11"
"2","805","Glen_b","autocorrelation","21"
"3","7290","gung - Reinstate Monica","least-squares","15"
"3","7290","gung - Reinstate Monica","self-study","49"
"3","7290","gung - Reinstate Monica","repeated-measures","29"
"3","7290","gung - Reinstate Monica","interaction","62"
"3","7290","gung - Reinstate Monica","survival","26"
"3","7290","gung - Reinstate Monica","prediction","9"
"3","7290","gung - Reinstate Monica","correlation","94"
"3","7290","gung - Reinstate Monica","conditional-probability","4"
"3","7290","gung - Reinstate Monica","experiment-design","22"
"3","7290","gung - Reinstate Monica","multiple-comparisons","33"
"3","7290","gung - Reinstate Monica","categorical-data","88"
"3","7290","gung - Reinstate Monica","lme4-nlme","16"
"3","7290","gung - Reinstate Monica","time-series","11"
"3","7290","gung - Reinstate Monica","model-selection","18"
"3","7290","gung - Reinstate Monica","statistical-power","37"
"3","7290","gung - Reinstate Monica","random-effects-model","2"
"3","7290","gung - Reinstate Monica","causality","17"
"3","7290","gung - Reinstate Monica","probability","40"
"3","7290","gung - Reinstate Monica","r","376"
"3","7290","gung - Reinstate Monica","multilevel-analysis","8"
"3","7290","gung - Reinstate Monica","feature-selection","15"
"3","7290","gung - Reinstate Monica","standard-error","17"
"3","7290","gung - Reinstate Monica","anova","91"
"3","7290","gung - Reinstate Monica","bayesian","14"
"3","7290","gung - Reinstate Monica","lasso","2"
"3","7290","gung - Reinstate Monica","linear","6"
"3","7290","gung - Reinstate Monica","autocorrelation","4"
"3","7290","gung - Reinstate Monica","forecasting","2"
"3","7290","gung - Reinstate Monica","machine-learning","32"
"3","7290","gung - Reinstate Monica","python","14"
"3","7290","gung - Reinstate Monica","mixed-model","23"
"3","7290","gung - Reinstate Monica","data-visualization","126"
"3","7290","gung - Reinstate Monica","hypothesis-testing","216"
"3","7290","gung - Reinstate Monica","interpretation","82"
"3","7290","gung - Reinstate Monica","binary-data","13"
"3","7290","gung - Reinstate Monica","regression","383"
"3","7290","gung - Reinstate Monica","pca","13"
"3","7290","gung - Reinstate Monica","dataset","10"
